,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,Class
32,-317.87567,65.97714,-10.569447,-2.5251005,-10.828323,-0.8094459,-11.464526,0.007862091,3.4742253,8.728006,11.154267,17.648735,19.550234,rain_med
33,-321.46017,65.78966,-10.601115,-1.7655402,-9.6611395,0.464095,-9.496067,0.8301329,2.3524024,7.6898856,11.560804,17.848696,18.549318,rain_med
34,-322.48715,64.76481,-11.312027,-1.81514,-8.527909,-0.13221274,-9.8635645,-0.42255592,2.351436,7.8764696,12.053685,19.750645,20.785166,rain_med
35,-319.0067,67.34697,-10.532792,-3.5197868,-12.260234,-1.8136544,-9.94778,1.4709823,4.3239713,9.453497,11.992413,18.86406,18.844473,rain_med
36,-321.22745,66.29164,-12.941722,-5.1318045,-11.294349,-0.17682907,-8.177227,1.008635,3.4967942,9.007589,11.8297,18.618698,18.51852,rain_med
37,-318.8693,66.42206,-10.788766,-2.7764637,-10.594301,-0.8432324,-10.933164,0.8374347,4.3822584,9.331028,11.647559,17.758987,18.6099,rain_med
38,-317.6792,66.17722,-13.216165,-4.3476343,-9.179987,-0.25594306,-9.908624,-0.3589165,3.5682101,8.642469,11.300153,17.868162,19.409542,rain_med
39,-323.2439,67.089035,-13.965547,-6.6495833,-10.334889,1.2564551,-5.206503,0.3953828,2.6589139,10.040551,13.986654,19.858274,19.149094,rain_med
40,-284.45612,70.41002,-14.307083,-9.015932,-10.772547,-1.5864418,-16.43753,-3.0193627,3.0092483,6.8796415,12.047827,16.88188,20.108585,rain_med
41,-281.66693,69.9331,-13.991595,-8.449496,-11.000416,-2.7743878,-15.8980465,-2.653315,3.210034,7.704598,12.872781,17.344206,19.992407,rain_med
42,-299.75293,69.601105,-13.6724205,-7.3882456,-9.65161,0.08443593,-13.145057,-3.2104115,1.5084321,6.533867,11.435701,17.367775,20.140028,rain_med
43,-321.90372,67.83284,-11.945874,-5.0562606,-13.088885,-1.286814,-7.980733,0.3720668,2.2661438,10.179252,14.233967,20.926464,19.091753,rain_med
44,-293.00436,68.184875,-14.0680685,-6.9446716,-8.948592,0.04462381,-14.42755,-2.6703959,2.3106127,6.1439104,11.048978,16.7805,20.164282,rain_med
45,-298.29205,65.97158,-13.781546,-6.662917,-10.2823105,1.0161147,-13.220067,-0.7410081,3.6030354,7.346142,11.996694,17.614275,19.969614,rain_med
46,-309.87982,67.65028,-14.067985,-5.7601132,-8.054381,1.5379841,-9.119944,0.6147205,3.4862175,6.59585,10.408704,17.16775,19.09645,rain_med
47,-319.67758,66.24551,-13.550329,-3.9223998,-6.9381866,1.9606656,-8.012197,0.8228734,3.6049972,6.8113685,9.495024,16.235147,18.398882,rain_med
48,-324.1676,66.254196,-7.800754,-4.6552396,-21.567928,-5.5486856,-10.449912,1.1143436,1.2906654,11.478145,16.518303,25.313732,23.566095,snow
49,-327.54147,65.29722,-7.745053,-2.2183623,-18.662067,-5.004834,-9.465745,1.7760302,1.9882079,11.92653,16.183025,23.997143,21.069185,snow
50,-332.64594,60.92252,-9.64652,1.1267955,-12.213305,-2.712587,-7.6395564,2.373738,1.5893862,10.26852,15.397284,23.76073,20.848131,snow
51,-333.35294,65.003654,-6.686456,-0.993003,-18.611885,-2.9754004,-7.071851,2.4293768,-0.5678755,9.012019,13.538,23.470228,21.746328,snow
52,-323.34586,68.0333,-6.326902,-4.7155066,-22.467403,-6.0584397,-10.725776,0.3793992,0.4606172,11.020453,16.804394,25.986053,24.142544,snow
53,-336.21173,64.26917,-5.9751234,0.57664704,-17.204155,-3.0962012,-6.9609957,3.1702387,0.60797775,9.448707,13.341552,22.579195,21.086971,snow
54,-340.0432,61.557167,-8.569451,1.4391503,-13.05542,-0.55726063,-4.1775618,5.554159,3.2392645,10.472807,12.967575,21.155876,18.460897,snow
55,-325.50943,63.51019,-16.437326,-5.906973,-5.317508,3.3534946,-2.6840394,2.899424,3.9042833,8.533449,13.027054,18.289598,19.118484,snow
56,-328.79184,61.74157,-14.680908,-4.1080565,-8.082696,6.6976604,0.14133008,6.017526,3.3477612,7.815114,11.004795,16.713047,16.518972,whitenoise
57,-335.3866,65.58091,-8.273908,-0.40223804,-11.191331,4.255026,-0.054651693,5.3517613,1.5655676,8.304832,10.59691,17.657558,16.706081,whitenoise
58,-322.0532,62.98065,-10.638009,-1.1508521,-8.891271,3.7887049,-2.5365508,5.3383408,3.5374048,7.856341,10.937507,16.922613,15.456631,whitenoise
59,-335.39792,65.694984,-9.459435,-1.2071506,-10.0244255,6.271226,1.7952437,6.7983694,2.8122792,8.68077,10.533817,16.889494,15.606113,whitenoise
60,-314.98813,62.13987,-15.875649,-2.3999393,-1.6370001,4.8843555,-5.1225486,4.8322597,7.943448,8.47195,11.686425,18.418083,20.035374,whitenoise
61,-299.3194,68.81554,-19.021305,-9.742077,-2.5830164,7.2938223,-3.7537873,3.7783103,6.6140375,6.9841614,13.26759,18.79685,20.870764,whitenoise
62,-323.59195,62.24626,-13.841901,-1.9207032,-5.8024445,4.6638517,-3.271362,5.301277,6.7079015,9.677126,10.900203,17.34377,17.572882,whitenoise
63,-325.1525,62.82315,-14.742293,-4.461063,-7.867401,4.6168823,-2.7698514,4.590616,6.0931845,9.772468,10.634715,16.931396,17.94306,whitenoise
64,-346.8944,62.996613,-8.989556,1.6825026,-7.9669404,6.386327,2.5156038,7.518724,3.274459,9.084185,10.455041,16.895267,15.57198,whitenoise
65,-351.48093,61.641674,-8.359589,2.9487784,-6.733566,7.0939035,2.287745,6.8507833,2.9870427,8.718472,10.50713,17.090256,15.882631,whitenoise
66,-361.24902,58.978867,-8.956781,3.6407282,-6.0488048,6.4392257,2.0500538,7.5479445,3.9000587,8.605592,10.154961,16.402678,15.455469,whitenoise
67,-351.28586,61.230156,-8.791167,1.9491811,-7.998874,6.16054,1.7869647,7.018456,3.2187908,8.973741,10.889419,17.041765,15.887562,whitenoise
68,-325.34885,65.49227,-13.023918,-6.8001747,-12.280799,6.632269,1.2008662,5.593416,2.7709339,7.813882,10.639957,18.90579,19.615,whitenoise
69,-326.312,64.7333,-13.557881,-6.44522,-10.931694,7.2713437,1.8039608,5.8190136,3.0799634,8.315513,11.258047,18.601704,18.861177,whitenoise
70,-319.90796,67.81611,-15.633772,-10.856658,-12.8563175,5.8102775,-0.17750296,4.6119075,4.003768,8.899337,11.825182,18.428133,19.420855,whitenoise
