Block,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
0,28.567405,-1.324118,-0.550207,-0.186846,-0.237040,0.390594,0.444107,0.286135,0.398845,0.176411,0.000013,-0.176408,-0.398854
1,25.321395,-0.367284,-0.365266,-0.153649,0.294278,0.326345,-0.090601,-0.240677,-0.094076,0.094199,0.000011,-0.094196,0.094069
2,24.549161,-0.775272,-0.553248,0.170574,-0.048468,0.175680,-0.205235,-0.159906,-0.148127,0.070013,0.000010,-0.070011,0.148121
3,25.211137,-0.620353,-0.720736,-0.537274,-0.027548,-0.153296,-0.380269,0.018601,-0.154554,0.041962,0.000010,-0.041959,0.154547
4,24.383615,-0.687188,-0.647677,-0.239836,-0.212813,-0.243407,-0.473648,-0.159672,-0.094413,0.246060,0.000010,-0.246058,0.094406
5,24.754398,-0.519739,-0.332494,0.220887,-0.413037,-0.315830,-0.370864,0.295311,0.072927,-0.067720,0.000010,0.067722,-0.072935
6,24.826204,-0.920078,-0.575126,0.384366,-0.384924,-0.058930,-0.264598,0.217753,-0.060634,-0.023163,0.000010,0.023166,0.060626
7,25.033351,-0.855667,-0.591757,0.222176,-0.053185,0.215521,-0.040181,0.034671,-0.181583,0.133862,0.000010,-0.133859,0.181576
8,25.281715,-0.990939,-0.741178,-0.019733,-0.102492,0.361837,0.298706,0.171010,-0.150964,0.192029,0.000011,-0.192027,0.150957
9,24.628337,-0.472156,-0.508274,-0.362251,-0.467663,-0.260713,-0.148967,0.155158,0.220623,0.133094,0.000010,-0.133092,-0.220630
10,24.158826,-0.768442,-0.480635,0.381119,-0.325420,-0.272457,-0.294802,0.384921,-0.209059,0.052387,0.000010,-0.052384,0.209051
11,23.859214,-0.751855,-0.556697,0.175344,-0.081529,-0.094412,-0.339451,0.181427,0.037576,0.252802,0.000010,-0.252800,-0.037583
12,25.598356,-0.538994,-0.377475,0.283386,0.019370,-0.185430,-0.396595,0.302128,-0.131945,0.133636,0.000010,-0.133633,0.131938
13,24.828317,-0.838900,-0.501808,0.367836,-0.306796,0.255696,-0.032262,-0.029883,0.309725,0.223969,0.000011,-0.223967,-0.309731
14,24.938396,-0.902165,-0.674696,0.062123,-0.428183,-0.096892,-0.136173,0.113484,-0.110910,-0.009321,0.000010,0.009324,0.110903
15,24.602418,-0.360163,-0.508160,-0.517673,0.159880,0.089301,-0.137314,-0.148972,-0.169694,-0.011451,0.000010,0.011454,0.169687
16,25.709381,-0.303357,-0.364131,-0.253786,-0.262266,-0.018523,-0.053016,-0.057132,0.217705,0.095908,0.000011,-0.095905,-0.217712
17,25.650630,-0.680804,-0.684657,-0.373570,-0.076242,0.151807,0.116665,0.313583,0.262832,0.146158,0.000011,-0.146156,-0.262839
18,25.712659,-0.343917,-0.299769,0.036025,0.084110,0.151810,-0.230476,-0.145336,-0.082052,0.030787,0.000011,-0.030784,0.082045
19,25.372762,-0.861336,-0.756207,-0.293856,-0.414622,0.015627,-0.139776,-0.182602,-0.151794,-0.025341,0.000011,0.025344,0.151787
20,24.617330,-0.839002,-0.481301,0.487418,-0.339833,0.069794,-0.224719,0.126050,-0.024949,-0.086633,0.000010,0.086635,0.024942
21,24.373859,-0.250495,-0.442130,-0.516881,-0.180564,-0.254624,-0.224502,0.031518,-0.032187,0.202085,0.000010,-0.202082,0.032180
22,23.276620,-0.671019,-0.606079,-0.175900,-0.298264,-0.065661,-0.177270,0.096209,0.045609,0.005136,0.000010,-0.005134,-0.045616
23,23.940139,-0.744296,-0.538580,0.045711,-0.509557,0.043267,0.104330,0.167892,0.214745,0.204938,0.000010,-0.204936,-0.214752
24,24.081619,-0.870380,-0.744054,-0.282184,-0.570543,-0.181115,-0.118327,0.330092,0.224247,-0.032076,0.000010,0.032078,-0.224254
25,24.606985,-0.970321,-0.662942,0.222630,-0.329877,0.081097,-0.076824,0.110120,-0.172506,-0.015570,0.000010,0.015573,0.172499
26,24.900249,-0.785972,-0.731760,-0.366510,-0.249568,0.036903,-0.170340,-0.276718,-0.020815,0.121841,0.000011,-0.121839,0.020809
27,25.027990,-0.741001,-0.507871,0.210575,-0.437902,-0.242950,-0.158973,0.564849,0.009956,0.111481,0.000010,-0.111479,-0.009963
28,25.079706,-0.678790,-0.500020,0.053800,-0.610824,-0.461119,-0.303290,0.206630,-0.425947,-0.080419,0.000010,0.080422,0.425940
29,25.570304,-0.720094,-0.522061,0.141952,-0.409209,-0.318435,-0.354578,0.199807,-0.050898,0.125162,0.000010,-0.125159,0.050891
30,25.607261,-1.200692,-0.715271,0.500096,-0.066290,-0.005270,-0.540370,-0.014442,0.030864,0.227439,0.000011,-0.227436,-0.030872
31,25.230346,-0.633898,-0.549362,-0.065480,-0.132808,-0.062866,-0.272102,0.077398,0.100609,0.190082,0.000010,-0.190079,-0.100616
32,25.605691,-1.100271,-0.930024,-0.278011,-0.372509,-0.044226,-0.100162,0.104928,0.031452,0.350258,0.000011,-0.350256,-0.031460
33,25.622520,-0.745245,-0.638145,-0.117487,-0.374568,-0.087307,-0.117729,0.090014,-0.037598,0.184044,0.000011,-0.184041,0.037591
34,24.971731,-0.591141,-0.407919,0.271538,0.009953,0.072844,-0.154071,0.394778,0.081987,0.028661,0.000010,-0.028659,-0.081995
35,24.579870,-0.387266,-0.461789,-0.284508,-0.093284,-0.196306,-0.298433,0.148665,0.113492,0.169038,0.000010,-0.169035,-0.113499
36,25.163961,-0.704183,-0.490683,0.217135,-0.390865,-0.216036,-0.316939,0.116110,-0.250648,0.060986,0.000010,-0.060984,0.250641
37,25.352539,-1.029856,-0.841802,-0.111413,-0.145137,-0.014544,-0.320295,0.005137,-0.083506,0.044517,0.000011,-0.044515,0.083499
38,25.608564,-0.827002,-0.800496,-0.350605,0.062307,-0.119706,-0.439517,0.100045,-0.067288,0.113585,0.000011,-0.113582,0.067281
39,25.014408,-0.419534,-0.420448,-0.198577,-0.450508,-0.304556,-0.348556,-0.218050,0.014232,0.096623,0.000010,-0.096620,-0.014239
40,25.220872,-0.623999,-0.513637,-0.011359,-0.016154,0.107269,-0.156760,-0.051104,0.071762,0.277926,0.000010,-0.277924,-0.071769
41,25.213430,-0.991238,-0.678190,0.323884,0.189389,0.112505,-0.311495,0.317362,-0.200663,0.000624,0.000010,-0.000621,0.200656
42,26.570518,-1.084734,-0.841165,-0.069867,-0.653141,-0.306381,-0.284932,0.222588,0.018727,0.213738,0.000011,-0.213736,-0.018735
43,25.850456,-0.634634,-0.408259,0.305533,-0.152009,0.145061,-0.013325,0.217733,0.052002,0.208768,0.000011,-0.208766,-0.052009
44,26.044176,-0.597797,-0.451868,0.154240,-0.000549,-0.099769,-0.440269,-0.041298,-0.116841,0.078625,0.000011,-0.078622,0.116834
45,26.543142,-1.037901,-0.741597,0.158814,0.100390,0.173139,-0.214285,0.092818,0.037484,0.341749,0.000011,-0.341746,-0.037491
46,25.105792,-1.239773,-0.810688,0.308982,-0.086735,0.057896,-0.512090,0.029365,0.180190,0.156629,0.000011,-0.156627,-0.180197
47,25.941783,-0.575681,-0.425576,0.120807,-0.233119,0.008512,-0.169450,0.137115,0.296274,0.211758,0.000011,-0.211756,-0.296281
48,24.976215,-1.003075,-0.843075,-0.255894,-0.047770,-0.007225,-0.360724,-0.084715,0.124718,0.412087,0.000010,-0.412085,-0.124725
49,25.437147,-0.905059,-0.669826,0.071870,-0.250148,0.170497,0.105966,0.179163,-0.084590,0.266794,0.000011,-0.266792,0.084584
