num_estimators,learn_rate,accuracy
1,0.1,0.6363636363636364
1,0.2,0.6363636363636364
1,0.30000000000000004,0.5909090909090909
1,0.4,0.5
1,0.5,0.6363636363636364
2,0.1,0.7045454545454546
2,0.2,0.6818181818181818
2,0.30000000000000004,0.7954545454545454
2,0.4,0.7272727272727273
2,0.5,0.6590909090909091
3,0.1,0.6818181818181818
3,0.2,0.7272727272727273
3,0.30000000000000004,0.75
3,0.4,0.75
3,0.5,0.75
4,0.1,0.7272727272727273
4,0.2,0.75
4,0.30000000000000004,0.8181818181818182
4,0.4,0.7045454545454546
4,0.5,0.75
5,0.1,0.7045454545454546
5,0.2,0.8181818181818182
5,0.30000000000000004,0.8409090909090909
5,0.4,0.8181818181818182
5,0.5,0.8181818181818182
6,0.1,0.7045454545454546
6,0.2,0.7954545454545454
6,0.30000000000000004,0.7954545454545454
6,0.4,0.75
6,0.5,0.75
7,0.1,0.7727272727272727
7,0.2,0.7272727272727273
7,0.30000000000000004,0.8181818181818182
7,0.4,0.7954545454545454
7,0.5,0.7954545454545454
8,0.1,0.75
8,0.2,0.8181818181818182
8,0.30000000000000004,0.8636363636363636
8,0.4,0.8409090909090909
8,0.5,0.8181818181818182
9,0.1,0.7045454545454546
9,0.2,0.8181818181818182
9,0.30000000000000004,0.7954545454545454
9,0.4,0.8409090909090909
9,0.5,0.7954545454545454
10,0.1,0.8636363636363636
10,0.2,0.7727272727272727
10,0.30000000000000004,0.7727272727272727
10,0.4,0.7954545454545454
10,0.5,0.75
11,0.1,0.7954545454545454
11,0.2,0.7727272727272727
11,0.30000000000000004,0.8409090909090909
11,0.4,0.75
11,0.5,0.8409090909090909
12,0.1,0.8409090909090909
12,0.2,0.7272727272727273
12,0.30000000000000004,0.8636363636363636
12,0.4,0.75
12,0.5,0.8636363636363636
13,0.1,0.8409090909090909
13,0.2,0.7727272727272727
13,0.30000000000000004,0.8636363636363636
13,0.4,0.8409090909090909
13,0.5,0.8636363636363636
14,0.1,0.7272727272727273
14,0.2,0.8181818181818182
14,0.30000000000000004,0.7954545454545454
14,0.4,0.8409090909090909
14,0.5,0.8409090909090909
15,0.1,0.7727272727272727
15,0.2,0.8181818181818182
15,0.30000000000000004,0.8409090909090909
15,0.4,0.75
15,0.5,0.8181818181818182
16,0.1,0.7954545454545454
16,0.2,0.8409090909090909
16,0.30000000000000004,0.8181818181818182
16,0.4,0.7727272727272727
16,0.5,0.8863636363636364
17,0.1,0.7727272727272727
17,0.2,0.8636363636363636
17,0.30000000000000004,0.7727272727272727
17,0.4,0.8636363636363636
17,0.5,0.8636363636363636
18,0.1,0.7954545454545454
18,0.2,0.8181818181818182
18,0.30000000000000004,0.8409090909090909
18,0.4,0.7954545454545454
18,0.5,0.7954545454545454
19,0.1,0.7954545454545454
19,0.2,0.8636363636363636
19,0.30000000000000004,0.7954545454545454
19,0.4,0.8181818181818182
19,0.5,0.8636363636363636
20,0.1,0.7954545454545454
20,0.2,0.8409090909090909
20,0.30000000000000004,0.8409090909090909
20,0.4,0.8181818181818182
20,0.5,0.8636363636363636
21,0.1,0.7954545454545454
21,0.2,0.8863636363636364
21,0.30000000000000004,0.8181818181818182
21,0.4,0.8636363636363636
21,0.5,0.8636363636363636
22,0.1,0.8181818181818182
22,0.2,0.8636363636363636
22,0.30000000000000004,0.8409090909090909
22,0.4,0.7954545454545454
22,0.5,0.8409090909090909
23,0.1,0.7727272727272727
23,0.2,0.8409090909090909
23,0.30000000000000004,0.8409090909090909
23,0.4,0.8181818181818182
23,0.5,0.8181818181818182
24,0.1,0.8409090909090909
24,0.2,0.8181818181818182
24,0.30000000000000004,0.8636363636363636
24,0.4,0.7954545454545454
24,0.5,0.8636363636363636
25,0.1,0.7727272727272727
25,0.2,0.75
25,0.30000000000000004,0.8181818181818182
25,0.4,0.8181818181818182
25,0.5,0.8409090909090909
26,0.1,0.8181818181818182
26,0.2,0.8863636363636364
26,0.30000000000000004,0.7954545454545454
26,0.4,0.8409090909090909
26,0.5,0.8863636363636364
27,0.1,0.8409090909090909
27,0.2,0.8409090909090909
27,0.30000000000000004,0.8863636363636364
27,0.4,0.8636363636363636
27,0.5,0.8636363636363636
28,0.1,0.8409090909090909
28,0.2,0.8409090909090909
28,0.30000000000000004,0.8181818181818182
28,0.4,0.8181818181818182
28,0.5,0.8181818181818182
29,0.1,0.8181818181818182
29,0.2,0.8636363636363636
29,0.30000000000000004,0.8181818181818182
29,0.4,0.8409090909090909
29,0.5,0.8863636363636364
