Block,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
0,28.527528,-1.222243,-0.415818,-0.320045,-0.536019,0.272678,0.525250,0.283026,0.286240,0.080432,0.000013,-0.080429,-0.286248
1,24.365236,-0.407098,-0.273069,0.287942,-0.033785,-0.032789,-0.220773,0.162599,-0.197192,-0.034305,0.000010,0.034307,0.197185
2,24.844608,-0.451735,-0.241436,0.395792,-0.055470,0.301708,-0.005440,0.129786,0.009787,-0.132345,0.000010,0.132347,-0.009794
3,24.908945,-0.911944,-0.472415,0.573453,-0.526736,0.050152,-0.098133,0.046116,-0.032559,-0.017694,0.000010,0.017696,0.032551
4,23.867465,-0.089980,-0.101662,-0.046995,-0.324765,-0.018103,0.106209,-0.064325,-0.061842,0.115751,0.000010,-0.115748,0.061836
5,23.491611,-0.820466,-0.322969,0.756970,-0.621717,0.001061,-0.078958,0.311658,0.342724,0.077164,0.000010,-0.077162,-0.342731
6,24.206914,-0.449596,-0.458602,-0.238115,-0.432336,-0.208951,-0.135511,0.064566,-0.060246,0.087506,0.000010,-0.087503,0.060239
7,24.089883,-0.180926,-0.026012,0.144005,-0.609676,-0.027412,0.281852,0.067752,-0.081275,0.022839,0.000010,-0.022837,0.081269
8,24.522020,-0.335070,-0.222901,-0.028182,-0.552235,-0.015563,0.199391,0.016491,-0.158453,-0.177276,0.000010,0.177278,0.158446
9,24.415800,-0.525798,-0.240306,0.546243,-0.126387,0.146794,-0.159499,-0.031083,-0.358656,-0.093060,0.000010,0.093063,0.358649
10,24.628931,-0.298544,-0.053682,0.491027,-0.226091,0.107348,-0.056804,-0.189958,-0.297534,-0.150378,0.000010,0.150381,0.297527
11,24.515190,-0.801136,-0.543928,0.173086,-0.541079,-0.053022,-0.118602,0.093668,0.031026,-0.120115,0.000010,0.120117,-0.031033
12,24.366518,-0.181036,-0.076314,0.174072,-0.495457,-0.105641,0.058903,0.134018,0.195894,0.079593,0.000010,-0.079591,-0.195901
13,23.641330,-0.063750,-0.051488,0.103167,-0.295943,-0.302508,-0.305619,-0.004280,-0.196782,-0.113717,0.000010,0.113720,0.196776
14,24.493913,-0.488258,-0.109074,0.735304,-0.481230,-0.133161,-0.267621,0.078338,-0.025603,0.052621,0.000010,-0.052619,0.025596
15,25.515663,-0.582204,-0.345718,0.308511,-0.430507,-0.341581,-0.328649,0.250680,-0.204381,-0.127324,0.000010,0.127326,0.204374
16,24.539489,-1.141290,-0.668982,0.555779,-0.383066,-0.130396,-0.403788,0.298226,-0.049421,0.036276,0.000010,-0.036274,0.049414
17,24.531921,-0.932647,-0.628974,0.142157,-0.640442,-0.043475,-0.025163,0.305900,0.119225,-0.147670,0.000010,0.147672,-0.119232
18,24.320030,-0.739869,-0.516124,0.045222,-0.655613,-0.103292,0.014662,0.084987,-0.104260,0.186398,0.000010,-0.186395,0.104254
19,24.543361,-0.419806,-0.184108,0.318336,-0.487990,-0.069990,-0.019597,0.046549,-0.246845,-0.239779,0.000010,0.239781,0.246838
20,24.547813,-0.740771,-0.536644,0.133830,-0.368073,-0.094650,-0.000560,0.480080,0.057455,0.110759,0.000010,-0.110756,-0.057462
21,23.927431,-0.510499,-0.273328,0.154493,-0.704881,-0.364878,-0.093002,0.545065,0.044804,-0.162536,0.000010,0.162538,-0.044811
22,25.517301,-0.922564,-0.779846,-0.499592,-0.992973,-0.441008,-0.131199,-0.064459,-0.286442,-0.412207,0.000011,0.412210,0.286434
23,25.299774,-0.129938,-0.127867,-0.153198,-0.515321,-0.274930,0.062495,0.249302,-0.071272,-0.154594,0.000010,0.154596,0.071265
24,24.893501,-0.281541,-0.264296,-0.186504,-0.573162,-0.341189,-0.010348,0.252809,-0.098910,-0.086432,0.000010,0.086434,0.098903
25,24.757204,-0.376460,-0.229514,0.304960,-0.206970,-0.062930,-0.038343,0.351815,-0.114448,0.169880,0.000010,-0.169877,0.114441
26,25.597656,0.121986,0.110500,0.009403,-0.370581,-0.237167,0.210853,0.493515,-0.024390,0.025342,0.000010,-0.025340,0.024382
27,24.986507,-0.160912,-0.085829,-0.015169,-0.667115,-0.347644,-0.023246,0.064845,-0.029980,0.122455,0.000010,-0.122453,0.029973
28,25.407726,-0.065551,-0.239495,-0.560655,-0.445057,-0.359146,0.174875,0.311264,-0.256086,0.166350,0.000010,-0.166347,0.256078
29,25.103385,-0.079393,-0.222889,-0.513451,-0.556080,-0.458891,0.089842,0.344391,-0.100908,0.063072,0.000010,-0.063069,0.100900
30,24.818674,-0.357301,-0.338802,-0.269247,-0.289406,0.324890,0.470316,0.038719,0.196375,0.024417,0.000011,-0.024414,-0.196382
31,28.341802,0.074441,-0.313863,-1.482427,-0.798797,-0.267779,0.488433,-0.324659,0.123303,-0.041735,0.000012,0.041738,-0.123310
32,26.039176,-0.191617,0.028350,0.166379,-0.994956,-0.546226,-0.205081,-0.060285,-0.073466,0.153260,0.000011,-0.153257,0.073459
33,24.319234,-0.208428,-0.003472,0.382012,-0.582225,-0.139625,-0.075359,0.215206,0.342264,-0.210051,0.000010,0.210053,-0.342270
34,24.183568,-0.087849,-0.066375,0.038168,-0.451197,-0.209151,-0.045236,0.160675,0.071843,-0.059915,0.000010,0.059917,-0.071850
35,25.197351,-0.383469,-0.376247,-0.236187,-0.640446,-0.482996,-0.345927,0.060655,0.018692,0.021356,0.000010,-0.021354,-0.018699
