Block,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
0,30.292001,-1.188853,-0.757480,-0.320355,-0.325591,-0.050703,-0.051273,0.281162,0.134196,0.067276,0.000013,-0.067273,-0.134204
1,29.782629,-1.819768,-1.368323,-0.109147,-0.348843,-0.160974,-0.581959,0.128167,-0.030332,0.102496,0.000013,-0.102493,0.030323
2,29.324211,-1.704074,-1.297562,-0.189333,-0.215448,-0.104005,-0.523745,0.233880,0.285042,0.306209,0.000012,-0.306206,-0.285051
3,28.427862,-1.397742,-1.231853,-0.578682,-0.562630,-0.359637,-0.562959,0.005386,0.156489,0.199560,0.000012,-0.199558,-0.156497
4,29.839126,-1.710103,-1.265471,-0.011766,-0.584207,-0.316507,-0.547377,0.149031,-0.069404,0.275997,0.000012,-0.275994,0.069396
5,29.971115,-1.290477,-1.046824,-0.198869,-0.482068,-0.209495,-0.394364,0.005089,-0.165044,0.056827,0.000013,-0.056824,0.165036
6,29.211135,-1.677646,-1.304128,-0.200854,-0.174337,-0.129883,-0.524539,0.102520,-0.054847,0.302343,0.000012,-0.302340,0.054838
7,29.527807,-1.498490,-1.250822,-0.557013,0.069767,0.050539,-0.450913,-0.088310,0.147827,0.336538,0.000013,-0.336535,-0.147835
8,29.621961,-1.799454,-1.431188,-0.537250,-0.092360,-0.145444,-0.626868,-0.256848,0.042572,0.409619,0.000013,-0.409616,-0.042581
9,28.337312,-1.848998,-1.407971,-0.288708,0.111245,-0.052299,-0.584629,0.100477,0.109954,0.303753,0.000012,-0.303750,-0.109962
10,28.460140,-1.343895,-1.160413,-0.412052,0.230532,-0.088266,-0.435440,0.361288,-0.224172,-0.020919,0.000012,0.020922,0.224163
11,32.043113,-1.868018,-1.418528,-0.153473,0.059144,-0.007434,-0.463441,0.142589,-0.378650,-0.029258,0.000014,0.029262,0.378640
12,29.567708,-1.365345,-1.179056,-0.417463,0.057596,0.120039,-0.147929,0.360676,-0.043993,0.202274,0.000012,-0.202271,0.043984
13,29.443510,-1.417358,-1.214940,-0.349132,-0.279866,-0.129411,-0.224303,0.357319,-0.065262,0.318453,0.000012,-0.318449,0.065253
14,29.729879,-1.310308,-1.157437,-0.478096,-0.166629,-0.009969,-0.259176,0.131467,0.041286,0.158192,0.000013,-0.158190,-0.041295
15,29.945474,-1.416044,-1.039410,0.049680,-0.188260,0.149480,-0.094234,0.370112,0.177814,0.165969,0.000013,-0.165966,-0.177823
16,29.861612,-1.140423,-0.947541,-0.207707,-0.403289,-0.181106,-0.047723,0.495027,-0.061779,0.175420,0.000012,-0.175417,0.061770
17,28.630455,-1.419983,-1.133659,-0.185171,-0.579438,-0.650198,-0.785800,0.165089,-0.153898,0.383489,0.000012,-0.383486,0.153890
18,28.790573,-1.422038,-1.222784,-0.441412,-0.307484,-0.159136,-0.419934,0.208372,0.161830,0.257737,0.000012,-0.257734,-0.161839
19,28.749279,-1.678314,-1.281914,-0.054106,-0.279160,-0.381128,-0.651720,0.282486,-0.166110,0.446431,0.000012,-0.446427,0.166102
20,29.069643,-1.372397,-1.111902,-0.194352,-0.254502,-0.028916,-0.307193,0.050086,-0.162943,0.145557,0.000012,-0.145554,0.162935
21,28.520620,-1.259942,-1.025185,-0.135345,-0.399430,-0.250163,-0.427070,0.173342,-0.149772,0.187724,0.000012,-0.187720,0.149764
22,26.494724,-1.253537,-1.139891,-0.512674,-0.353329,-0.347211,-0.358908,0.417816,0.181077,0.314364,0.000011,-0.314362,-0.181085
23,28.198925,-1.389864,-1.108902,-0.218725,-0.156464,-0.025695,-0.405436,-0.081407,-0.048864,0.163217,0.000012,-0.163214,0.048856
24,28.630863,-1.419587,-1.179950,-0.360274,-0.550662,-0.214573,-0.331703,-0.074144,-0.217898,0.049899,0.000012,-0.049896,0.217890
25,29.601617,-1.330017,-1.072108,-0.219522,-0.315096,-0.221463,-0.483699,0.205692,0.143492,0.069002,0.000012,-0.069000,-0.143500
26,28.114574,-1.239839,-0.894848,0.125609,0.005704,0.009157,-0.405953,0.201951,0.117854,0.248514,0.000012,-0.248511,-0.117862
27,30.850292,-1.276078,-0.962186,-0.028681,-0.627374,-0.156284,-0.334543,-0.029479,-0.079969,0.019288,0.000013,-0.019285,0.079960
28,33.273155,-1.659369,-1.196987,0.072403,-0.166248,-0.032342,-0.446205,0.145703,-0.013533,0.139731,0.000014,-0.139728,0.013523
29,30.819232,-2.077622,-1.522040,-0.026051,-0.260704,0.171990,-0.057022,0.466633,-0.051516,0.268644,0.000013,-0.268641,0.051507
30,30.824810,-1.496342,-1.110384,0.055735,-0.167838,-0.170427,-0.407732,0.423937,0.088838,0.565977,0.000013,-0.565973,-0.088847
31,29.713140,-1.994955,-1.510541,-0.090608,-0.066040,-0.189878,-0.518256,0.455372,-0.358351,0.149906,0.000012,-0.149902,0.358342
32,28.811893,-1.577606,-1.260600,-0.144516,0.177686,0.017341,-0.315974,0.425123,-0.322929,0.206824,0.000012,-0.206821,0.322921
33,26.828891,-1.490159,-1.356995,-0.819998,-0.108761,0.121421,-0.150497,0.080571,0.151740,0.339245,0.000012,-0.339242,-0.151748
34,27.747344,-1.361633,-1.280849,-0.807698,-0.068617,-0.024063,-0.271060,-0.157251,-0.279132,0.198017,0.000012,-0.198014,0.279124
35,27.747655,-1.243347,-1.019900,-0.171999,-0.184197,-0.002996,-0.229792,0.216316,-0.022710,0.135527,0.000012,-0.135525,0.022702
36,28.186929,-1.365860,-1.058025,-0.027819,-0.338254,-0.195831,-0.503776,0.068876,-0.202191,0.199424,0.000012,-0.199421,0.202182
37,27.221914,-1.843534,-1.358480,-0.029858,-0.023902,0.238565,-0.134038,0.410405,0.082859,0.219569,0.000012,-0.219566,-0.082867
38,28.048095,-1.934984,-1.401344,-0.106021,-0.014413,-0.099326,-0.567661,0.381239,0.228149,0.337366,0.000012,-0.337363,-0.228157
39,29.823602,-1.851930,-1.114270,0.699867,-0.111878,-0.079109,-0.509750,0.696156,-0.125201,0.206295,0.000012,-0.206292,0.125192
40,29.656627,-1.707799,-1.099998,0.425789,-0.309806,0.146839,-0.264309,0.210441,0.065412,0.127100,0.000013,-0.127098,-0.065420
41,28.606342,-1.200504,-0.808495,0.257426,-0.513563,0.025076,-0.185125,0.077442,0.071192,0.166987,0.000012,-0.166984,-0.071200
42,27.210290,-0.766992,-0.755409,-0.373115,-0.094677,-0.082404,-0.337575,0.039516,0.028716,0.176592,0.000011,-0.176589,-0.028723
43,27.801471,-1.212721,-1.094018,-0.447434,-0.378449,-0.266357,-0.320206,0.137300,-0.079257,0.366924,0.000012,-0.366921,0.079249
44,28.293107,-1.198655,-1.004427,-0.258547,0.056369,-0.077188,-0.440901,0.104780,0.047404,0.369428,0.000012,-0.369425,-0.047412
45,27.578279,-1.207111,-1.090396,-0.454903,-0.276519,-0.129413,-0.293234,0.230830,0.073618,0.173364,0.000012,-0.173361,-0.073626
46,26.887416,-0.895015,-0.977223,-0.743300,-0.135535,-0.265432,-0.311326,0.122473,0.055914,0.420863,0.000011,-0.420859,-0.055922
47,28.913248,-1.236523,-1.005945,-0.267611,-0.419784,0.107854,0.031559,0.073932,-0.116974,0.050384,0.000012,-0.050382,0.116965
48,29.906724,-1.597424,-1.273730,-0.138744,-0.385082,-0.378874,-0.624465,0.227584,-0.475659,0.060129,0.000012,-0.060126,0.475650
49,31.317466,-1.785647,-1.298419,-0.039293,-0.339892,-0.160186,-0.639583,-0.104050,-0.054548,0.244062,0.000013,-0.244059,0.054539
