Frequency(Hz),REC0.wav,REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav,REC17.wav,REC18.wav,REC19.wav,REC20.wav
718.75,32.0763,35.5922,25.2849,41.6023,24.2604,49.2911,4.1583,16.0953,19.8326,21.5835,13.138,31.1067,35.4889,47.4704,24.7643,57.8047,52.9458,21.0353,32.8687,25.6,40.8892
734.375,18.286,41.0512,46.3632,28.4596,46.4624,35.3028,14.4214,33.7406,32.9951,53.3939,35.5653,17.3971,6.1044,30.4471,18.3815,65.4647,33.171,52.1777,40.1239,44.705,30.5217
750,23.8372,49.4285,30.9854,56.5356,17.9113,23.521,8.7356,30.6411,24.3056,38.2561,52.7559,42.9892,63.9853,21.8478,38.8271,18.0658,33.2377,38.7341,51.5371,23.8299,30.4954
765.625,7.6476,72.3196,57.5694,15.5873,26.4769,70.3962,58.4944,46.6213,49.2864,19.4142,70.4287,57.0494,20.4716,36.5855,37.3398,26.3323,52.2614,28.129,35.2135,51.8601,80.0481
781.25,61.2466,17.829,46.7679,56.3655,53.7064,31.0242,22.9124,62.9007,45.1988,56.9421,28.5395,77.8614,39.766,23.8347,54.4567,5.8056,85.7329,26.745,61.1572,37.5873,34.4451
796.875,20.0916,76.4222,50.9235,16.0324,36.4964,37.7282,48.6281,80.9175,74.2897,11.5751,44.4669,19.2304,30.4592,4.7828,49.2751,36.5456,44.8022,35.5052,11.9837,30.5462,9.8575
812.5,28.2215,59.4425,81.5933,74.5778,37.1525,33.1423,13.9488,53.4049,65.8496,59.6643,62.051,34.5603,46.7123,51.452,34.072,31.0831,41.2923,27.8705,38.2724,43.735,40.8004
828.125,50.9316,63.4306,37.8114,23.0032,47.7216,43.7129,30.5894,21.2926,36.4886,36.2144,24.546,54.8087,23.1478,34.7581,53.5862,83.8805,35.5917,75.7823,28.6403,22.8451,62.0159
843.75,49.8306,50.2491,35.6894,15.5562,16.6988,32.4882,61.6042,35.3945,63.1723,25.4572,9.4791,38.1093,6.6878,35.8071,8.3868,22.2456,46.9442,25.6202,50.0842,39.0585,24.8805
859.375,43.7431,31.6224,54.9739,92.4746,19.4555,47.4946,22.2033,75.8842,26.3649,48.7647,54.1606,50.8541,29.6707,33.9221,62.3766,24.1599,34.6281,39.3211,25.9036,61.7777,43.8855
875,87.9307,71.286,31.0458,29.1668,35.7716,61.9217,68.8761,93.6969,69.1512,51.9448,49.6834,39.6146,26.4289,34.3698,76.8171,42.6071,29.5829,55.934,43.6819,31.038,30.0685
890.625,37.1185,89.6984,71.1251,53.9625,23.8217,64.7923,20.6349,94.7017,16.9216,54.9109,16.5718,50.4012,55.375,63.5986,23.1842,35.478,7.8889,55.1695,46.8659,54.3497,53.9421
906.25,33.098,51.3373,28.6417,43.9295,57.2926,43.5215,45.3813,139.1636,77.6636,61.6285,72.5881,42.4802,73.0308,33.3256,67.0671,24.8836,48.6593,48.2445,61.7009,68.866,49.3571
921.875,70.1717,7.6503,67.3952,31.787,29.0813,51.4274,42.9753,54.4282,23.0232,24.6631,10.2348,42.0807,35.9702,51.9835,9.3734,46.5802,35.8162,42.136,38.9339,49.5571,28.699
937.5,36.5731,101.0228,35.0759,66.7564,26.1193,68.2414,79.1431,31.7798,60.7275,67.4936,45.2033,30.9378,52.1511,32.9921,64.8358,22.0393,40.5871,59.2155,25.9445,62.463,52.1268
953.125,65.666,78.3362,78.5369,38.0376,51.3814,45.6951,36.1703,37.2666,25.2528,49.0295,42.8744,83.987,26.8359,61.5927,25.1831,26.7489,28.8186,49.1049,102.1054,47.9785,45.8899
968.75,38.9063,80.6665,23.2263,55.9774,16.8872,63.8474,55.1134,65.2933,98.3867,39.294,29.585,59.0126,54.7766,51.9994,63.4536,49.3669,40.6935,51.2662,45.7091,42.3324,47.6352
984.375,68.8572,53.5569,61.465,44.5146,95.1827,27.0318,59.7049,42.8175,51.9673,78.3191,40.4272,53.9329,58.4589,40.8578,65.6966,50.7684,72.951,51.6012,59.7433,50.358,40.6545
1000,60.8183,41.7479,26.8475,63.8564,37.8744,52.1266,62.7186,60.5193,52.9956,37.8393,53.4894,62.6036,3.0622,68.5238,81.7767,56.772,30.7899,63.6629,36.6823,54.0825,56.2815
