Frequency(Hz),REC0.wav,REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav,REC17.wav,REC18.wav,REC19.wav,REC20.wav
453.125,67.3666,88.2432,95.9864,89.4443,107.366,63.8424,41.371,74.3679,60.4955,76.3531,57.9409,82.9746,74.5919,64.8165,20.7116,67.8894,31.0653,90.7649,46.5564,33.6468,48.7036
468.75,71.9797,31.9034,59.8972,52.6308,25.11,31.4586,62.9447,63.7737,73.7148,56.4817,61.1764,88.1337,47.6522,43.1873,49.9691,72.3887,61.1646,29.0517,48.9098,26.4498,44.1537
484.375,60.257,54.13,90.2678,70.054,65.0693,63.7209,99.3788,77.6903,79.6154,80.7852,83.3354,78.5453,82.8346,57.6624,28.8531,76.7062,45.7947,40.2813,37.6993,35.0792,41.6831
500,91.6915,64.8727,76.4883,74.8943,53.8929,43.2796,54.7142,73.8786,72.8093,62.7723,64.8312,74.6921,58.3337,44.1314,39.5966,60.0172,31.6659,67.7894,50.7284,33.3768,41.8501
515.625,57.3055,21.8672,44.0557,72.7523,51.4219,72.2119,60.1251,49.3033,67.5551,77.7071,68.9949,65.0306,77.6953,45.0814,53.6773,59.6448,69.4089,38.7987,53.2741,9.9356,27.0447
531.25,86.0425,72.1662,87.9138,57.0479,50.5005,27.0507,52.0337,75.6664,30.9785,52.0721,57.0931,71.7124,70.9816,36.1854,26.5825,73.3032,44.6309,51.4467,31.8767,55.3729,43.8013
546.875,52.8511,40.0295,50.7775,64.4393,88.8497,58.3472,65.3641,79.1061,89.6714,72.3247,73.4016,50.1729,35.061,62.5337,30.0384,58.8948,63.4712,24.8918,26.0506,22.1763,57.6292
562.5,76.7486,63.8041,69.8183,63.2327,6.2534,20.1026,67.7739,21.1388,54.9318,39.8863,32.3589,78.9562,85.6425,44.458,47.4239,63.7201,52.1687,73.2943,28.0762,29.7433,13.3907
578.125,43.1854,34.0674,69.5944,59.9867,54.9331,82.9052,56.1433,66.7043,60.5542,90.8369,86.5129,57.2925,24.7187,51.6799,30.4477,46.3548,25.3215,29.008,53.8796,39.0354,47.666
593.75,58.5902,51.6924,34.5683,60.9264,67.5751,31.2925,55.3899,59.7957,56.0469,25.4167,61.6172,51.7947,76.8276,27.9164,33.9389,52.2241,37.876,34.3399,29.6064,18.4101,25.0348
609.375,40.5911,45.3127,63.0313,41.4483,16.887,62.9218,46.629,34.6551,28.3399,40.4444,11.1245,71.9303,13.8146,45.2147,48.0206,43.5915,49.8572,31.2464,37.7711,32.7554,28.0284
625,36.0773,16.4622,34.4063,46.1106,60.1703,42.4588,57.499,51.2113,58.3327,46.4124,75.497,18.7528,76.2592,27.0618,18.2522,54.224,25.0496,25.7563,33.0267,27.4418,29.3595
640.625,44.3426,68.7226,49.865,30.0009,40.1612,28.4635,5.4742,54.9105,10.9826,38.3174,24.2896,106.8672,20.8396,42.8244,25.2413,25.4876,43.5576,46.3488,14.8109,33.6194,23.3504
656.25,33.4418,13.4185,34.1663,27.2891,21.788,30.5877,27.5542,15.869,40.0419,32.6348,26.2268,117.5185,56.9251,23.0067,32.6722,31.4354,26.2755,14.2786,21.0724,16.4612,32.3838
671.875,26.4583,34.6025,3.1263,25.8927,23.4392,10.4218,55.9486,32.2827,21.7642,32.2865,23.5883,78.971,27.8003,28.0391,25.1391,22.7387,22.1606,19.0445,20.8191,17.5133,30.1528
687.5,9.4328,34.7398,62.5004,24.1351,43.6854,51.9346,29.1711,23.5763,33.794,3.8179,41.3619,42.7314,52.9613,24.8743,30.6863,9.1912,25.269,42.9179,32.2633,21.5538,16.9129
703.125,21.9678,35.7771,33.0853,16.1022,40.4365,10.9744,19.0969,29.2496,9.5157,31.2968,17.5048,12.752,27.0158,65.3221,19.732,49.674,37.6206,60.2852,7.1393,4.1047,14.8674
718.75,22.3614,18.7784,28.6174,9.4527,59.362,45.6774,39.9735,27.4955,18.426,25.7669,6.7081,32.5923,58.1017,56.2837,16.8832,31.0245,42.8775,34.9951,20.0582,43.4702,28.0404
734.375,13.7862,58.7121,21.282,14.3171,21.8216,59.8268,24.3417,12.8404,34.1368,32.2643,60.8821,36.8086,14.6131,9.1287,33.1147,15.5956,22.7531,37.5554,46.8304,19.5375,26.2775
750,35.9943,21.3004,10.1899,17.6205,27.1875,67.8052,36.5026,9.1427,38.6857,11.0797,20.8606,16.5005,52.3673,50.9374,15.0909,19.6945,14.2496,27.4776,27.1874,12.4706,19.1713
765.625,13.0536,13.3732,40.8865,43.654,24.9999,55.7779,30.1238,23.2165,19.1506,23.918,18.0007,50.3886,13.7553,16.4406,9.4431,27.8112,15.0096,22.2001,46.9022,33.3774,34.6358
