Frequency(Hz),REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav,REC17.wav,REC18.wav,REC19.wav,REC20.wav,REC21.wav,REC22.wav
6484.375,37.6274,153.7153,58.6905,17.3671,23.432,50.882,101.9105,41.0541,16.1269,32.9396,107.4671,18.2914,81.3238,37.0636,9.7376,27.1065,9.9513,19.7429,27.8731,28.3083,25.6202,24.6425
6500,14.099,133.6778,53.9742,36.3038,20.0484,95.1248,76.1171,23.7057,34.0523,30.3979,69.4841,39.7574,60.7013,25.4058,51.5091,25.3162,57.6563,10.5684,15.9615,28.4836,15.2757,24.9019
6515.625,15.3753,93.0376,32.9686,53.086,30.2988,40.3728,128.0042,42.1914,20.0886,18.4766,117.1293,37.1489,93.7756,81.1774,77.4896,21.9352,29.4112,119.7229,114.584,26.0237,39.8337,29.6545
6531.25,36.3075,47.5186,66.2847,56.0329,22.147,48.0917,84.9709,38.1275,20.2872,61.7197,189.4068,8.3213,83.9785,57.5881,66.4047,23.2417,66.0125,102.4677,175.7877,30.8288,13.6278,28.3954
6546.875,31.8203,103.9921,61.9226,60.9554,34.003,52.8667,109.7522,5.9556,17.2257,39.1663,233.624,23.2448,50.8003,77.8143,87.2647,27.1824,25.4257,56.0995,120.216,32.1293,22.8286,30.6917
6562.5,27.4775,222.4399,39.1552,26.7158,34.1733,72.1615,73.9047,52.7391,31.6691,23.5365,350.747,29.0038,88.6304,54.544,84.2427,20.8964,72.5992,30.3492,72.2468,35.1179,30.7203,32.5101
6578.125,31.6136,161.1425,113.7369,39.3453,28.7222,78.1298,93.5113,30.5013,20.6499,22.0576,207.2901,22.9923,12.3099,56.8021,65.4768,33.934,30.8701,58.4889,140.1423,36.828,19.098,32.9145
6593.75,57.76,226.408,94.7558,60.7056,44.2019,51.3176,111.7307,64.0392,35.6512,76.8554,137.206,46.6501,64.8404,80.979,32.3783,51.7773,46.2093,68.6727,119.4095,30.3551,16.7156,34.8342
6609.375,43.8896,214.0942,75.5648,39.7903,36.6409,72.7058,112.982,26.0621,23.6007,22.0096,102.3332,13.2125,11.3701,36.2756,47.1707,29.3351,58.9117,103.7823,68.1462,32.0672,27.2907,33.8249
6625,60.1174,53.8694,33.9254,67.7229,38.4712,135.3244,40.3094,50.5813,30.0238,40.2031,114.2653,26.4244,26.3605,59.5587,51.2767,41.6918,21.6117,154.1913,90.3053,20.8699,18.5025,35.937
6640.625,64.3279,49.0165,12.0581,18.203,42.1382,110.9351,41.9655,64.9273,37.4573,75.4992,189.9064,38.3547,51.6377,87.9894,51.1713,52.2421,68.906,109.7536,47.5207,28.9182,23.6427,35.5292
6656.25,39.1168,129.2988,40.7448,77.7526,43.4791,118.0383,54.0735,9.1976,32.7778,10.4505,107.1841,28.1908,7.7735,66.9452,34.3174,6.3885,5.413,108.3091,44.7942,34.8698,16.5505,39.5727
6671.875,74.0768,62.0534,31.5337,77.631,38.6536,98.0094,74.7746,65.8229,24.1126,39.7712,28.2869,23.0298,4.4676,82.8802,49.23,41.965,82.2853,68.1165,71.4247,34.4072,20.2942,35.1701
6687.5,31.4822,73.4264,25.5007,66.4615,42.0353,164.2516,92.9326,56.9981,29.7279,66.7098,136.6894,28.6926,55.5322,92.5312,96.401,27.4576,4.2069,72.7114,71.199,39.1136,12.9915,33.7087
6703.125,47.7593,86.8779,73.5473,82.6268,46.3162,133.2648,23.586,37.1653,31.0694,39.7322,133.9448,19.9954,17.677,91.8348,16.391,23.8623,87.2184,106.4777,41.6701,26.8062,26.049,36.5836
6718.75,36.4184,174.4268,104.1584,25.7667,35.6393,109.6182,53.3986,45.5438,33.1558,26.9203,117.3768,29.626,22.4735,61.429,50.2565,24.5065,36.2531,1.1224,45.3181,26.9352,16.4815,32.3108
6734.375,38.4799,150.0368,96.5328,41.0207,34.5384,149.6341,63.9565,20.4903,32.7141,53.8217,85.5802,41.5261,45.2066,79.4637,17.3294,17.1521,53.8295,93.694,69.5544,22.6435,20.3132,34.3777
6750,46.0154,36.9405,80.6932,54.0924,44.0769,65.8192,64.86,69.3268,6.7427,37.0888,21.3505,11.2974,9.8815,98.7488,67.5235,33.6591,16.0745,27.8857,141.0541,23.5607,17.7485,30.0716
6765.625,36.8553,134.7627,49.1983,31.2445,27.6597,127.359,78.0944,16.6549,37.0007,16.1894,32.9969,38.4352,37.5901,86.6323,26.4503,28.4423,67.0849,75.767,92.7438,25.1737,14.8735,27.1646
6781.25,16.0375,111.4204,71.9825,48.0233,32.8339,90.0696,45.631,40.9523,19.6722,57.3729,48.5532,25.4313,19.0533,37.7448,70.5162,19.6651,14.6346,95.4772,64.9621,26.0727,7.3049,26.5067
6796.875,52.6094,75.5303,33.5073,37.201,33.2607,53.7483,23.8956,32.9185,33.6781,29.76,127.8031,21.6199,31.3616,61.8199,38.4249,33.0963,42.4978,51.6117,51.055,21.3805,21.2223,24.4266
6812.5,51.0875,48.9819,23.4323,57.9445,24.3536,67.2636,68.5465,26.6307,19.6293,19.2417,96.921,7.0847,5.5376,13.89,66.8868,18.55,25.8638,34.6209,88.3478,15.8631,8.4482,22.6332
6828.125,55.8256,51.8188,58.9539,47.3659,24.4593,72.1858,47.5726,37.703,18.7682,48.4868,66.1098,25.4958,14.7048,29.6467,32.6106,11.9158,34.4961,124.4319,91.3446,14.5441,20.6855,18.2636
6843.75,28.7259,55.5955,59.1107,24.2437,22.3644,184.9004,40.296,21.1501,25.5652,20.122,29.8856,20.8519,4.4398,24.776,54.6224,25.7852,17.4775,15.0712,62.1156,9.9136,15.6002,15.5588
6859.375,69.9908,68.7885,70.9994,39.3071,12.5453,101.0157,40.226,18.7718,6.0811,18.0736,39.4669,22.5793,21.447,34.6094,22.6676,15.1417,35.2336,64.3772,35.5965,12.2593,20.9568,12.9785
6875,37.4165,61.6937,48.9851,14.0587,17.7791,45.6416,69.4711,26.7391,28.3121,17.6128,41.1351,5.4985,25.7953,102.1541,25.1861,24.0465,41.7519,72.2768,63.1922,6.3403,16.3346,12.1665
6890.625,23.4456,28.6307,38.1316,52.2046,8.9282,130.1591,20.2114,20.0865,14.3363,17.3711,62.3393,19.6521,10.6865,71.9591,46.6071,35.8006,42.3933,65.5447,56.8883,6.073,12.6617,7.7156
6906.25,30.4777,58.7236,15.8292,25.2349,5.5407,45.9166,54.347,25.3733,4.546,1.9972,71.8189,7.209,25.8097,38.212,18.1005,19.8653,26.1259,103.3523,21.0431,7.4158,9.4344,7.5589
6921.875,34.9824,131.1484,10.5148,18.5217,9.5174,130.6928,54.9721,26.2443,9.3991,23.1926,31.6633,20.7509,13.4375,48.1516,38.1576,34.2083,15.291,61.3457,77.6877,6.1931,10.2159,6.4144
6937.5,26.7089,89.4333,16.2351,17.4068,4.5158,63.6229,89.5057,26.1702,21.5428,10.4791,31.1653,7.6969,22.715,30.1318,15.8794,13.046,4.3864,34.4164,102.8637,12.5589,13.5398,9.9163
6953.125,15.5838,54.4664,50.8089,20.4767,8.0441,119.4139,108.1053,26.3414,5.8207,21.8314,40.7785,5.8203,20.9347,27.9195,21.92,15.9876,15.9269,75.4392,31.7038,7.6962,8.9507,9.5868
6968.75,17.1999,80.028,37.2819,19.5154,11.7317,31.6291,58.2482,4.1183,8.0236,2.6703,26.9319,3.2191,21.0701,25.2716,21.2739,18.8194,40.9989,46.6626,120.9062,18.2715,7.3255,12.7714
6984.375,8.9951,89.4249,38.6655,33.7386,11.7986,40.4072,29.9289,12.1017,6.4013,23.2812,20.6913,7.8862,12.293,39.6881,12.9058,9.7935,19.1,29.1993,55.8587,22.9407,18.6711,13.322
7000,19.2009,41.4833,20.1157,38.8125,16.8566,42.1208,38.5894,24.4077,16.3939,9.4711,0.9883,18.0416,10.0688,54.4153,5.0866,12.8665,31.933,23.9871,41.5567,24.5147,14.3235,17.2097
7015.625,16.3804,74.1631,31.1031,35.6458,13.666,16.2912,46.3768,23.0268,9.9057,32.6717,32.7601,14.9338,13.8311,21.8366,13.9157,16.2672,21.416,18.7973,126.9443,23.6202,21.1025,18.4426
7031.25,16.8182,39.6772,17.7401,23.6088,22.8156,34.5711,30.1264,29.4216,5.5683,12.1942,69.0332,16.1596,4.2486,28.585,25.8213,9.3624,46.0754,28.2499,97.8113,21.9797,13.7264,21.5022
7046.875,42.8909,67.5444,7.4539,2.5905,21.1105,72.9263,38.2909,29.6642,8.0296,18.1743,87.0823,5.9017,21.2621,53.406,31.7621,7.2378,53.0289,56.3433,73.2137,20.084,19.2169,22.5416
7062.5,9.8187,61.4725,15.0115,10.3487,24.5835,59.925,27.7815,18.7753,6.8109,30.8063,72.8047,6.0907,18.2337,45.2672,32.1121,10.5473,47.5166,58.3738,84.9378,31.0257,14.5542,24.0676
7078.125,31.5313,62.6787,19.245,6.4643,22.2804,45.9224,40.0878,32.8534,15.0597,18.6004,68.2791,11.7185,17.0717,55.4192,49.1608,6.7956,22.71,16.9871,88.3903,29.1509,10.8306,24.9035
7093.75,29.7268,72.6188,37.3174,12.5491,25.3261,61.4294,16.6605,35.997,8.272,25.4527,70.5602,22.8369,15.7802,58.8358,40.9058,4.0765,40.0343,40.7118,125.2738,35.1983,12.7514,26.8642
7109.375,25.663,32.3777,26.4848,10.5284,25.2303,47.6781,34.2076,16.6639,11.5857,29.8398,50.7213,18.7891,9.0747,62.6392,40.8,6.3985,35.8957,70.2417,53.0379,27.6161,26.4333,22.6837
7125,30.8015,23.7532,24.7405,4.1287,25.8892,51.3648,42.23,28.6068,31.1098,26.4087,55.2284,26.5958,23.7776,43.6261,49.2482,11.0773,17.3937,68.0709,37.8531,23.1369,11.8616,29.0208
7140.625,26.2251,35.1754,12.0382,31.3887,28.5259,37.7261,41.1105,20.7889,18.0383,27.6256,80.2186,17.0831,22.2445,17.3699,53.6487,2.1926,47.8139,17.1425,145.063,28.7479,24.4815,26.7888
7156.25,16.3393,56.9305,19.491,30.6771,18.2408,9.1533,39.5715,45.0357,4.316,25.946,66.5502,23.5768,11.0503,7.8647,29.8829,9.1812,23.8531,23.9205,89.2176,30.0298,21.9895,25.1055
7171.875,24.8183,53.7585,22.7449,12.4379,29.5998,66.8189,52.6857,21.5185,7.2233,34.1774,67.7734,18.661,26.6393,8.3607,30.3133,15.046,34.4242,57.3739,74.1187,28.3707,5.5653,25.2472
7187.5,31.8043,78.5302,12.4543,38.3745,24.4457,29.9759,36.2965,25.3648,10.1678,20.7551,50.0569,19.2159,20.4177,46.4571,30.8659,9.9534,22.7337,74.7852,88.3419,34.1152,15.3555,23.6366
7203.125,18.932,51.7093,9.516,24.5304,18.8254,33.174,60.0766,23.8189,20.63,19.3133,67.8071,9.5377,9.2483,59.2594,14.2372,22.1598,34.0849,25.8656,63.2695,28.009,15.4709,23.9573
7218.75,25.0639,65.8932,24.2116,16.4102,23.9872,68.5686,9.1287,23.4472,18.0454,22.6082,51.5727,19.3234,11.9956,82.4348,45.1918,7.4174,64.7821,35.9243,71.7308,19.6163,8.4382,22.5652
7234.375,18.4427,56.1665,2.9291,30.043,15.0128,66.7742,10.0147,20.3919,14.0942,19.3736,26.1219,38.9361,31.0527,51.3112,5.0069,20.0928,26.2489,26.8142,48.5146,15.9807,14.8283,16.1673
7250,14.508,93.052,17.5746,39.6322,16.2883,51.2981,23.2072,21.1595,12.2269,8.9989,30.0669,15.3136,1.8873,92.8182,11.3535,12.9788,26.8884,31.6972,14.969,18.3372,16.3527,19.394
7265.625,23.9197,69.415,24.857,70.6427,21.8777,68.7322,56.5528,21.079,5.44,24.6334,64.17,12.0526,15.1492,81.1376,12.597,15.7123,15.1438,5.7674,33.169,14.7584,6.1134,15.3122
7281.25,2.0783,25.1063,3.6384,38.7536,17.211,15.4204,25.2683,21.8832,13.2991,17.6792,55.5423,27.3714,10.8734,22.1511,26.7016,20.3836,14.4954,18.0654,33.6257,8.0468,15.4915,13.4846
7296.875,26.3028,72.4838,15.6234,47.8897,7.8917,18.1809,35.9127,9.8096,6.0814,3.0388,43.1714,9.5998,21.0403,47.2903,12.5093,7.1932,34.0459,18.4412,44.5717,13.2858,6.0315,11.944
7312.5,17.9483,9.7385,9.24,30.681,15.0166,26.0991,3.2936,18.1927,16.0565,14.9151,31.6362,11.4175,27.3466,52.1852,8.5267,8.741,16.585,30.0348,46.7604,5.1416,9.3299,10.6999
7328.125,15.1998,37.7507,16.8837,33.4956,12.6103,15.0684,35.1087,7.3441,6.6218,20.2151,26.429,7.3891,9.0203,37.2627,29.0099,13.4516,31.1844,26.5018,18.9146,6.9443,6.6325,11.1877
7343.75,21.26,26.2148,37.4444,37.33,16.8261,6.6197,74.6361,26.4713,31.7478,12.7242,9.6706,17.2683,35.4767,45.4734,20.3589,10.4427,20.6076,29.7839,44.3839,9.9226,6.9371,8.0314
7359.375,19.2285,59.228,21.5557,8.4511,16.2223,25.1563,45.847,30.2772,17.3215,21.2908,27.3428,20.9932,7.7825,8.4924,27.877,12.8296,23.3205,16.6864,65.4302,6.2682,5.309,9.7358
7375,12.147,49.3625,16.3304,5.273,13.7226,19.0988,27.5839,11.578,8.3479,13.377,26.8025,8.3206,21.9474,36.9276,14.7159,14.0398,24.426,7.871,44.117,6.411,7.0695,12.2557
7390.625,25.3078,60.0587,44.1665,27.6006,17.3329,13.6461,20.3228,11.1632,24.2931,12.7333,28.2514,25.867,28.6918,57.9719,18.9089,9.8256,27.4291,38.9161,46.4134,12.8491,6.9647,12.4681
7406.25,20.4931,28.725,7.262,13.4126,23.3015,33.318,23.8065,25.3019,21.216,21.8177,41.821,3.7659,14.8483,55.4127,29.8271,12.5514,18.3596,9.9731,69.4109,8.3625,3.546,15.2884
7421.875,17.3471,57.3326,27.425,27.766,24.1073,11.3529,27.6039,22.083,8.1849,33.6239,9.1903,24.0937,29.7546,64.1724,19.7654,18.5231,16.9903,40.9654,14.6772,14.4202,5.5178,15.4034
7437.5,27.7472,12.9283,8.6625,26.5141,21.8918,11.9916,34.0269,32.8942,19.8856,10.9978,3.8904,12.0483,10.6563,65.7006,21.9336,11.3738,29.8381,34.7028,26.3329,17.2195,5.152,21.7303
7453.125,26.1756,28.2049,42.6328,5.6255,26.9967,40.0279,57.8795,21.9924,11.3384,32.6222,50.1185,10.2079,19.3316,27.5702,24.148,17.2364,17.6924,34.5566,26.4049,26.0523,7.7642,21.4087
7468.75,35.0829,13.6182,17.6885,28.1869,29.2471,33.1363,40.8262,30.8942,14.6784,27.678,33.4838,19.4449,19.0524,44.0084,26.6056,10.4242,39.9993,30.1634,38.0247,28.136,5.5769,25.3397
7484.375,27.184,45.6045,29.7788,12.7718,28.5875,51.1823,21.5644,30.6183,17.2715,28.309,24.8032,16.3473,5.0497,5.6896,14.6992,14.403,27.9484,12.8012,40.8256,27.7065,3.2479,25.6927
7500,21.3664,18.1863,11.7074,14.2008,30.0809,41.0985,5.9081,39.4933,15.558,35.8099,45.908,9.9235,21.5224,1.5782,31.1536,13.9483,39.9089,10.6298,30.0175,24.7565,16.0538,27.9368
7515.625,39.2964,33.2521,26.8521,37.8143,32.1131,7.4541,26.3544,21.9584,10.5779,29.5301,6.3169,10.9634,20.6364,37.5143,30.0019,11.9926,21.1994,41.9404,51.392,22.5311,8.4667,30.7666
7531.25,37.6226,27.6691,5.687,18.5266,36.5438,48.5392,12.6935,37.5629,10.6708,30.2672,24.9558,12.9543,12.3784,24.6992,34.3657,16.0795,34.5662,23.9776,29.7851,25.9221,8.9769,29.9632
7546.875,47.3746,53.895,26.7283,35.9903,33.582,12.8698,15.9007,37.3512,20.9352,37.9713,29.5681,26.0397,33.2943,41.0991,16.0912,13.1666,33.824,24.8502,37.9437,34.5013,9.1434,32.0321
7562.5,29.1837,25.194,4.3985,13.0939,31.6809,26.1056,21.6782,35.1199,15.9124,39.0342,28.5859,10.7711,14.7631,24.3916,46.1326,16.8884,44.2744,28.0871,69.1942,36.9675,12.5337,33.2053
7578.125,48.4959,32.6629,29.2519,26.995,40.374,32.7334,71.4875,33.6715,5.5298,22.3855,45.0824,14.5778,17.9421,5.918,23.5095,15.5782,24.8369,8.1136,5.0546,34.7701,12.5758,34.022
7593.75,42.2618,8.8085,3.5299,19.2184,31.5265,17.1117,1.6476,36.338,20.334,44.0464,22.9312,18.9094,34.3543,19.5154,20.3807,13.6111,51.5493,14.2632,46.7039,30.1334,9.8169,33.1446
7609.375,27.7494,25.8302,24.1067,9.5204,38.5445,35.6032,11.0973,34.0952,17.463,33.3604,24.32,19.2401,11.5228,22.6033,40.7745,20.828,36.4028,12.2801,68.8937,29.4627,16.2606,35.0164
7625,54.1616,33.566,8.4902,36.3805,35.6733,51.4359,40.0787,42.3125,11.9056,40.8181,45.61,10.8344,23.6623,7.7264,8.8238,9.4754,26.8733,34.9402,12.6576,30.4655,17.6361,35.8979
7640.625,34.7669,22.6401,27.2445,8.845,34.9285,36.0579,11.1973,30.7963,18.221,35.0922,12.0919,28.667,23.8144,17.7383,44.2398,20.6128,43.6006,19.9723,56.9262,33.8791,12.8528,32.8934
7656.25,16.9366,36.4656,11.7263,29.4195,29.1502,17.2178,17.939,37.0207,25.8132,36.4706,22.0581,11.3876,18.344,28.4516,8.0827,19.4013,35.5492,35.3133,64.2188,36.0977,16.4221,33.373
7671.875,43.5611,14.8358,31.5557,33.2846,33.7151,46.6923,32.4109,34.227,17.222,29.6757,30.9636,29.4561,17.7051,15.0723,44.1295,13.3053,40.6525,18.0091,9.6512,35.5749,17.1921,32.346
7687.5,33.0641,28.5595,13.0462,12.2186,36.2869,24.4302,31.0214,44.4391,17.7491,37.4127,37.7175,25.0582,14.0453,28.3796,19.609,24.4474,22.5085,39.6333,70.6683,27.4925,21.2548,32.4837
7703.125,29.4395,49.0043,33.5124,35.9231,27.8286,47.6369,28.8672,29.0758,16.5361,29.5652,50.0447,18.1621,25.8824,13.9875,42.0143,19.9827,35.75,12.7583,60.3129,27.6496,18.7928,29.2056
7718.75,32.7523,7.2519,27.0702,29.6581,29.4808,33.4994,7.5498,29.5895,25.3952,30.1163,24.221,18.1931,20.9253,36.5653,12.2506,18.6836,29.6511,39.9639,18.622,30.7003,18.6808,30.1905
7734.375,29.4347,33.415,24.3913,18.9302,27.4424,33.0652,34.9614,23.5018,21.586,25.3382,16.193,22.1942,15.7864,15.285,25.1054,29.2475,27.7294,34.5121,51.8108,32.3595,25.5741,28.4897
7750,25.7289,25.8301,16.8331,35.6453,28.8824,43.4561,23.0649,36.7974,20.8331,28.3517,40.6576,31.1239,27.9193,17.5278,28.5134,16.9739,23.3165,21.3607,39.8829,29.7624,24.8105,26.8205
7765.625,26.5942,14.8091,30.1521,1.5069,24.5028,23.4243,12.4758,23.6516,21.9613,25.5634,30.7253,25.1418,19.905,26.1494,27.4989,21.9125,26.1643,15.2835,31.7598,28.6508,19.5566,23.9846
7781.25,22.4192,31.7113,10.8038,46.6391,22.6535,16.7759,42.4586,22.1306,24.1477,23.285,21.5079,18.2304,27.1436,28.1115,17.3115,30.4974,31.9164,26.6277,57.2042,26.7124,26.2763,24.1323
7796.875,22.6642,15.2635,39.2119,32.9313,21.1619,50.1208,43.9151,24.4659,28.9661,18.7057,50.3533,25.5614,20.0358,15.9308,31.3131,16.5656,19.4276,32.0369,24.245,28.6557,27.0414,22.2255
7812.5,22.7159,22.6575,24.7226,20.0931,22.6785,32.6625,23.9761,23.5818,22.4329,24.0808,51.8736,33.6316,26.2526,30.2171,22.8138,27.6878,17.9247,31.8633,55.26,24.9882,27.0027,20.8817
7828.125,18.4564,42.13,20.8442,42.5734,18.4381,27.5107,17.0148,20.8637,22.0447,16.9414,35.3293,28.92,33.9303,29.844,30.3833,32.5565,26.147,23.5055,58.7181,20.3364,24.435,16.6511
7843.75,11.9169,20.4977,44.1793,10.9277,15.2259,57.1226,32.9577,13.2016,30.5358,18.7796,38.711,18.9844,19.9059,33.0487,18.1271,19.6777,12.067,44.2491,27.0731,17.6143,28.3587,17.9837
7859.375,22.494,38.2936,25.2995,42.5537,16.575,11.3465,29.8345,18.7978,29.1012,13.061,33.3956,30.8058,30.2978,31.8153,15.7215,32.9593,12.6979,47.2202,40.0678,14.5104,31.5952,16.3729
7875,13.2687,28.3344,24.8911,28.0941,14.6186,37.5768,33.4435,17.3544,25.37,13.2626,35.3296,30.3511,30.4302,20.0545,23.2754,34.1018,15.3065,19.4786,32.3406,21.138,26.4741,13.8726
7890.625,8.8432,17.6063,29.4678,26.5444,12.3048,39.4713,14.2636,14.6616,26.1871,15.2252,41.378,29.7555,25.1123,36.7497,20.6355,18.0592,15.2839,15.5468,22.9354,21.7791,27.6217,12.1282
7906.25,15.3104,23.2797,31.0189,50.6539,12.0353,33.2752,55.1632,9.9677,30.0957,9.3869,21.4697,29.6154,32.9918,24.8703,21.814,35.4022,18.0398,29.7004,44.6332,20.7919,31.7554,12.054
7921.875,8.5263,21.3029,33.3674,12.0623,9.3531,46.2237,39.3763,14.6954,31.7435,10.374,48.702,17.6119,23.3766,30.0586,12.6605,29.5393,2.2249,52.6689,37.9092,16.4793,31.0893,10.8031
7937.5,11.7192,39.5172,38.2227,46.1652,10.0646,42.5781,17.5956,7.2684,25.304,7.8193,40.4876,40.5877,36.4815,29.3107,25.7238,21.7981,20.3768,15.942,39.3732,7.8909,28.8736,9.7562
7953.125,8.3464,34.1716,12.6221,27.5661,8.5238,13.1752,24.6012,13.6844,27.0549,8.6246,14.9318,23.61,30.8992,36.3863,10.7212,37.7809,12.0903,45.8301,47.5149,10.1385,29.7274,8.211
7968.75,6.0189,20.4911,48.3508,28.4474,7.651,61.5312,44.5228,1.0082,32.8102,8.4717,41.3522,28.2855,27.4001,24.3722,22.4017,28.8029,4.96,36.9313,37.598,12.7822,32.3301,8.8985
7984.375,9.8871,25.5236,22.5883,47.205,8.5969,29.2841,28.8602,14.7337,30.0563,9.1464,42.9643,34.8239,34.1948,37.9169,15.9014,25.0337,9.9233,41.3196,29.7938,21.0997,32.757,10.3197
