Frequency(Hz),REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav,REC17.wav,REC18.wav,REC19.wav,REC20.wav,REC21.wav,REC22.wav
5140.625,1.5928,39.5463,19.6289,24.9835,9.0222,76.3346,195.2177,34.0533,20.9726,20.2366,151.7669,11.6087,34.9517,34.7266,47.9547,17.8876,10.7181,89.1767,41.9567,1.0834,20.0758,5.4397
5156.25,16.6642,45.1025,44.212,29.911,10.4686,100.8213,103.5721,13.999,5.8136,10.2302,98.4696,11.8824,8.4643,19.6357,31.6446,19.9944,16.3664,55.6624,119.2718,4.7092,21.0731,6.1878
5171.875,24.8592,56.9993,36.4646,32.2362,10.7987,91.9809,49.7837,24.3379,12.0246,20.1388,168.6003,10.5103,35.2783,29.7365,33.4416,19.3398,12.8892,38.0678,187.3189,17.2911,10.8261,10.9911
5187.5,29.6246,65.3062,87.7163,36.8836,3.4088,111.2589,65.5151,20.1975,15.2971,19.8079,172.7738,11.6115,6.1974,72.6827,29.1851,21.5237,19.4445,57.6293,119.5442,24.8361,37.3298,9.395
5203.125,27.8172,113.2013,68.6042,28.4739,9.011,54.5219,149.9812,23.127,13.363,21.1879,55.5703,25.4621,26.1022,46.5936,38.9005,44.1189,26.6994,6.9237,58.3733,26.0229,10.9385,14.4522
5218.75,20.3619,29.0777,45.8592,19.9766,11.1748,100.3781,84.4543,26.7904,15.8631,14.3398,15.0035,19.8202,24.3154,28.6532,13.6498,23.981,23.4798,61.7275,110.4936,34.0918,14.1363,17.8134
5234.375,23.7143,24.5743,71.5645,36.3618,6.2212,68.7634,152.0544,4.6213,22.013,13.8275,51.6847,3.5871,25.483,68.5739,18.103,48.271,30.2795,49.9019,128.8401,25.5575,24.9937,21.8529
5250,12.22,99.5977,28.2303,15.2092,19.7725,53.5863,68.8702,18.3169,10.3312,30.1543,139.269,16.452,6.6747,67.9365,13.1996,42.4261,27.8806,37.9634,72.7635,24.0746,51.3222,21.8055
5265.625,23.9794,49.2182,37.7047,31.1626,14.6899,34.9541,81.8908,47.8474,15.3192,11.3547,78.7011,32.1004,53.5733,70.3416,11.1609,33.0782,42.3416,38.4724,135.9679,32.7917,17.8749,25.5707
5281.25,12.5827,74.1681,9.106,6.2012,10.9912,22.9972,12.7015,44.1353,17.5947,21.6157,82.8863,17.4503,53.3236,43.64,23.68,43.4889,20.2691,16.4183,75.6191,36.3099,47.0719,23.8054
5296.875,18.7069,22.4845,33.9603,41.2597,13.4558,52.2111,75.4666,10.1715,21.8419,19.0506,94.2263,6.2281,7.6976,55.0776,11.1721,12.9781,18.5922,48.83,86.1672,40.0705,22.6231,24.6981
5312.5,20.0756,37.7983,30.4873,32.6424,17.5407,62.9019,76.4152,6.5756,11.2803,19.8826,117.1361,20.6918,11.0192,74.4194,41.6969,41.0984,7.5772,69.6757,59.0351,48.1219,25.3521,27.7449
5328.125,11.4611,121.6834,88.1918,18.4412,20.3051,88.5095,91.5881,24.6897,19.6181,20.6089,32.5839,20.4143,41.7944,52.9645,35.3602,10.7477,13.2479,54.0805,59.9026,33.1068,23.9749,23.119
5343.75,19.0671,58.7885,47.9345,17.978,9.1784,97.1643,72.4242,28.9181,21.9039,8.6766,52.1586,22.7371,44.8121,39.2438,29.3123,38.2201,11.1037,61.8454,54.73,29.8044,44.9554,24.5177
5359.375,12.6899,38.4619,46.4054,45.363,21.2357,89.3586,55.8275,23.1246,9.9762,25.0921,112.2646,11.2563,39.7058,36.4749,26.4976,16.7316,21.8073,46.0094,58.7511,26.0116,8.4283,23.2392
5375,12.1611,5.0506,82.9856,23.0964,11.9028,118.7791,161.8874,16.4932,22.2559,8.5083,114.3313,17.2557,37.5743,12.7919,24.5971,15.6443,22.8055,42.8624,81.6621,23.6474,42.4704,23.2476
5390.625,18.5255,76.851,39.4622,36.0456,17.3186,76.7326,114.7614,51.7168,11.6081,34.1354,64.4928,15.8084,20.4473,58.5145,45.6785,19.1684,14.906,68.2699,118.7193,27.5069,30.9549,18.0299
5406.25,20.1343,27.2459,67.6479,29.912,7.9599,40.3905,59.3053,17.2177,20.9648,12.6005,110.8376,18.1945,35.9017,39.3369,17.0388,2.2473,17.1729,40.173,139.5142,23.4524,22.3826,13.2981
5421.875,12.5922,70.4353,51.7085,32.9082,12.5503,73.4136,129.1659,13.4099,17.6589,25.2339,121.5413,12.2555,30.7463,61.7023,18.7863,36.0593,16.5449,54.9901,87.9333,19.3311,48.2294,16.4869
5437.5,0.5274,118.107,39.3769,48.5819,11.1505,84.7908,136.9266,11.7171,18.2658,23.6876,104.2851,17.2379,40.8637,27.3384,15.7774,44.2342,12.655,70.6227,98.2822,9.0944,8.2289,10.3293
5453.125,7.8267,15.4895,44.2165,47.5101,0.8995,75.4947,100.3896,4.9026,14.2225,18.9645,127.7927,9.9587,38.2381,41.9915,8.1663,39.5332,5.3828,47.3337,117.1707,7.3787,13.6304,5.1954
5468.75,17.9571,56.2017,36.2928,62.02,7.8624,54.9037,116.1021,25.7732,17.0414,25.8819,89.6909,15.038,3.0488,37.354,16.0238,53.694,18.5266,53.8584,64.3022,5.9731,18.6893,3.1077
5484.375,13.8286,78.8527,39.2344,19.8877,1.3863,99.3566,94.1913,13.4215,8.1367,12.6694,32.1599,19.0827,13.8799,49.829,17.2313,33.4315,13.4847,19.7081,187.3992,7.8793,8.4389,0.7878
5500,18.5334,38.1039,26.6987,27.6057,5.3094,94.006,129.8562,12.0072,9.5126,23.6533,91.4327,5.456,28.7689,37.662,8.3733,22.6808,7.1089,23.4571,139.0521,7.7545,11.9194,6.9383
5515.625,14.2642,42.2291,31.5132,15.9344,5.6758,98.6993,162.9204,17.7163,21.0298,17.9599,51.7025,14.4433,12.7326,30.6298,19.6981,27.89,15.4824,16.0516,168.0699,17.7275,18.7521,8.7701
5531.25,16.4978,21.8285,28.4923,10.7269,9.8437,106.4936,103.2523,52.804,9.9298,8.8559,95.9429,23.17,9.4287,45.9075,44.9023,6.6135,12.9028,45.1155,119.6122,14.6834,15.7649,16.2273
5546.875,19.3035,90.1395,30.0458,3.7714,12.2214,116.2583,83.535,31.2877,14.592,26.3204,87.9783,8.5169,25.0034,20.3047,35.2529,29.7478,30.9308,34.2897,52.6024,24.4414,17.1561,17.4953
5562.5,17.9677,47.5934,86.9495,27.6699,13.4519,54.1438,96.5816,43.9597,15.0517,13.6037,58.5115,11.8973,36.8475,58.2425,32.6229,20.7763,21.0095,45.7912,86.2291,32.0543,44.7874,21.0252
