Frequency(Hz),REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav
734.375,1.8755,29.0498,25.9518,20.8576,46.9467,14.4285,67.2057,22.0173,18.3072,25.5546,8.0197,37.1765,43.2336
750,17.3927,26.7848,40.0159,46.9371,22.8305,49.0363,16.5679,30.1863,18.8391,12.7273,26.2853,18.9207,27.3562
765.625,7.8364,25.0149,18.762,20.0514,17.0133,29.6282,11.2474,8.3054,24.0954,9.9654,10.955,21.9325,8.3189
781.25,47.1067,16.8728,27.3034,4.7242,45.3823,73.4854,41.9154,21.457,36.5766,43.1188,19.7681,24.2045,37.6604
796.875,17.24,26.7897,51.9893,6.6238,16.1107,55.5695,24.3706,26.9687,19.2792,49.8956,29.5909,23.1401,17.1828
812.5,37.7745,28.1422,18.8821,17.3235,20.6239,46.959,24.9822,12.8632,20.646,32.9115,38.2643,43.4608,25.7103
828.125,36.141,13.8829,25.4142,35.4851,26.4555,37.0817,23.5354,25.107,38.4289,37.6352,18.775,6.6021,50.6148
843.75,44.8759,32.9972,17.6367,17.1249,29.9515,39.3393,21.9613,11.9685,36.1144,26.0736,58.0074,49.1168,57.0752
859.375,14.5802,19.1471,31.3009,22.2712,30.4582,47.7498,42.737,27.0724,37.2548,30.791,19.0179,40.7477,28.5089
875,42.1556,30.2143,16.1826,24.1848,9.0502,30.7838,26.4106,27.4215,34.9006,49.6724,45.6186,35.3456,40.6118
890.625,54.7583,18.5586,38.6322,35.061,43.8635,40.7421,42.2724,42.7209,41.7125,29.9548,51.3581,52.6853,33.9163
906.25,22.3847,47.223,19.8436,28.7067,35.3028,39.8597,55.0196,19.8637,32.3219,46.4802,40.8206,30.7678,41.2043
921.875,53.5881,40.6437,42.7842,34.5283,14.5884,54.9144,37.6335,44.3161,38.0189,33.3398,42.7123,53.9343,45.2173
937.5,45.1693,25.1083,26.5297,48.0299,53.3478,37.6547,47.1117,26.8539,45.3165,51.7337,50.7401,44.0863,56.7851
953.125,37.2217,48.6618,45.0283,29.0927,22.8547,63.7657,42.8131,41.8049,59.8375,46.822,42.0107,46.2838,37.4532
968.75,43.0636,30.7376,33.5452,51.3672,40.6926,51.1335,48.2555,36.9012,32.5582,51.2266,62.4306,58.1622,57.6882
984.375,54.4838,50.6292,42.4279,45.8524,61.9729,38.8633,50.6197,47.6931,62.7228,42.6652,46.0455,30.3866,40.1883
1000,56.6233,34.8633,43.3255,55.3843,54.8717,57.3723,50.2016,53.0709,45.8201,55.3603,52.5893,62.868,44.2908
1015.625,35.6735,47.8198,43.5983,51.1845,39.0403,41.1187,50.6001,31.0138,53.2342,48.0984,46.4154,46.5253,55.2506
1031.25,66.4232,52.5153,53.6637,42.7835,63.772,70.6998,54.518,61.7532,48.3248,55.0952,63.1003,58.4655,56.3773
1046.875,43.2019,58.2744,47.6869,56.0484,40.936,44.7258,59.5508,55.7162,55.5927,64.0182,51.5447,48.8355,57.5038
1062.5,61.6106,54.888,64.5945,48.6313,69.0824,56.9367,53.5486,45.8591,68.109,48.7597,50.8024,75.8043,60.0314
1078.125,69.6296,48.6395,58.5069,72.7188,64.0493,67.8512,60.3645,64.462,52.7971,75.4779,65.4926,49.8064,67.9206
1093.75,46.1944,72.0243,52.4903,62.8165,75.9985,52.8326,61.459,57.7009,58.1762,58.0275,69.9875,56.4071,69.3903
1109.375,76.8823,59.2435,70.8011,45.0197,56.5973,74.5991,75.1592,64.0885,61.8166,69.9797,61.3305,67.9295,59.4836
