Frequency(Hz),REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav
1140.625,80.2594,80.3481,72.8551,84.9116,77.2811,76.5062,70.6452,78.0574
1156.25,87.3507,61.594,73.7332,66.9876,70.5858,75.2427,86.6745,70.3401
1171.875,72.0355,89.9129,70.6614,91.2209,75.9742,90.3099,75.7837,77.4363
1187.5,77.9761,57.3393,90.349,73.5044,70.47,59.6043,82.5519,87.0913
1203.125,86.7424,92.1579,83.3062,81.8894,80.0084,85.5212,77.8764,78.3656
1218.75,92.6519,73.496,83.6576,92.8944,82.9885,82.8854,88.9037,90.8824
1234.375,85.2718,82.3987,86.9531,72.9461,74.8466,86.0636,87.1438,78.621
1250,83.6794,73.6662,94.3425,98.7066,83.4338,94.6851,80.331,96.9024
1265.625,95.3914,83.0452,83.0861,88.6455,84.9747,81.2354,102.5875,83.3
1281.25,92.9612,80.908,88.3902,88.6817,81.4988,91.0935,91.8208,97.1646
1296.875,88.1123,80.2026,94.3473,88.5798,82.3736,92.8297,76.9721,82.3294
1312.5,77.6391,77.3843,81.6385,91.3863,63.0703,80.5192,85.5456,94.6483
1328.125,102.7701,80.5904,91.145,87.8941,84.2905,92.7749,92.9369,83.196
1343.75,92.8996,67.6043,91.3114,88.776,76.1004,77.963,88.2313,77.1406
1359.375,70.875,72.2697,75.6887,81.5085,57.9625,92.0165,74.0481,94.4425
1375,61.8336,77.8553,82.3525,80.5904,80.4096,79.633,83.325,81.0187
1390.625,104.2611,63.0687,78.6712,76.5286,65.0828,67.3525,80.536,74.0496
1406.25,66.0859,64.7724,68.3016,77.3363,61.7865,78.6608,56.2677,72.2574
1421.875,67.6751,62.5456,65.9747,62.5329,63.7622,65.5846,83.7195,70.1533
1437.5,72.8966,46.8053,65.1396,71.7701,52.2867,70.2956,67.1535,57.2278
1453.125,42.6166,51.037,59.1988,56.2418,47.3129,51.3323,47.5511,61.5459
1468.75,54.2023,47.1902,52.7511,56.113,55.4633,51.2984,46.0152,54.191
1484.375,57.7293,44.1892,46.6339,39.2295,28.9669,55.1909,51.0601,46.7327
1500,43.311,30.8931,36.7483,41.0043,47.5945,30.3218,43.216,34.0352
1515.625,26.7501,32.1672,47.6327,35.4255,23.779,43.4876,34.5266,45.4548
1531.25,44.6159,29.2502,8.3198,26.8474,27.6982,29.8203,21.876,23.6612
1546.875,13.6455,30.8135,33.254,21.2707,24.4762,22.9424,30.6209,24.2856
1562.5,28.0106,20.8348,10.1672,24.8808,21.9803,11.5464,13.2965,4.212
1578.125,11.0194,8.1593,17.8329,8.1748,20.5431,16.7026,4.5713,18.4441
1593.75,8.574,9.3635,4.2243,20.5457,10.7431,9.779,9.0754,3.8329
1609.375,15.3477,12.5089,3.2789,25.0673,5.7629,15.6445,15.016,4.3177
1625,5.9789,5.8253,14.8982,6.3858,12.8887,17.8501,8.9148,10.1223
1640.625,10.9106,18.5852,13.1065,6.5745,19.4872,17.1739,23.982,15.6277
1656.25,21.369,8.0146,23.4693,22.1045,19.1448,15.9129,13.9044,22.8889
1671.875,32.4148,24.71,25.8758,32.9859,18.4265,32.0601,29.3687,29.4667
1687.5,38.9889,16.2233,35.1636,29.3862,18.3242,30.6198,29.5901,24.1774
1703.125,32.4518,23.7741,34.4101,27.5442,25.0169,32.9104,41.0003,42.2475
1718.75,40.3224,28.8266,36.8727,44.3148,35.3712,36.3573,35.2721,38.9138
1734.375,41.2261,26.8016,39.7462,41.6652,30.7651,43.9381,42.0561,40.6147
1750,35.2233,35.1485,47.3099,44.56,30.4696,45.729,42.868,39.3685
1765.625,61.4034,25.1408,45.6167,47.0955,27.1814,44.3871,44.6218,46.1221
1781.25,21.2112,44.4042,48.8492,41.4237,37.703,40.7591,47.3413,53.8788
1796.875,60.6925,22.5207,39.7063,45.3976,39.1285,59.4884,39.6542,48.2652
1812.5,43.9939,36.6766,59.0864,47.3474,34.2284,35.9246,56.0445,38.3303
1828.125,57.4802,43.268,48.2008,57.3146,19.8724,51.3159,50.1075,55.8423
1843.75,47.0986,30.0768,49.3098,39.4564,49.1505,58.3675,43.1694,50.1545
1859.375,45.893,33.6793,43.3385,57.1754,33.014,39.9629,49.3682,41.5419
1875,49.973,31.126,41.8639,37.9559,26.2553,40.6132,45.2708,39.5988
1890.625,29.533,29.5892,46.3512,47.6406,42.7408,47.5145,49.2856,50.7741
1906.25,45.5658,31.6814,33.4302,31.5323,36.4718,37.0713,27.4085,40.676
1921.875,49.4451,34.9637,42.8275,49.4674,32.9228,36.5989,39.0511,36.1201
1937.5,32.5487,22.4637,33.5717,33.7301,19.2332,36.918,46.0835,37.062
1953.125,30.5876,33.2251,33.327,25.8549,39.0393,38.6849,33.7907,32.0926
1968.75,26.3721,23.6739,28.6587,31.0961,14.8837,17.989,21.5102,29.7226
1984.375,35.2396,21.3868,22.4334,27.937,28.8102,26.3145,28.161,25.3544
2000,21.8662,26.2935,24.0652,20.2216,19.8884,29.513,24.8542,21.5956
2015.625,26.1301,17.1519,15.5829,24.9338,28.7327,14.8469,14.4824,19.0773
2031.25,11.6772,19.7463,14.6882,10.9507,25.5021,27.1711,19.4923,11.8983
2046.875,6.9645,19.2635,16.1137,12.5176,13.8454,11.6238,9.6248,9.7007
2062.5,18.4783,23.6219,9.9186,8.0383,10.1836,11.4872,13.4488,7.4623
2078.125,20.5514,12.4514,11.2166,12.7149,28.2461,14.1776,11.7286,23.9287
2093.75,8.0029,19.6243,8.422,6.3257,10.9314,12.5609,8.55,10.8233
2109.375,8.3525,11.8652,7.617,8.0855,13.7995,11.2214,5.8019,8.0271
2125,12.1636,16.6356,5.0974,10.5629,19.7795,14.6612,11.5677,6.1989
2140.625,4.994,12.4307,6.3018,8.308,18.8763,3.947,6.1776,10.4039
2156.25,10.3989,14.4202,14.1982,20.2207,24.0862,14.1744,17.761,16.8068
2171.875,15.5168,15.0672,8.2899,14.3027,6.619,13.519,14.6195,16.0619
2187.5,18.3485,11.5387,15.2466,16.6924,14.1304,22.2308,15.5501,12.8095
2203.125,10.7772,14.6163,18.1436,21.9864,16.4505,14.0692,10.8992,22.1591
2218.75,16.5373,9.4382,16.4888,9.2083,11.7999,15.7794,26.3397,13.5525
2234.375,18.7062,11.9712,14.6854,22.0923,9.0154,13.0107,14.7894,24.8031
2250,13.0302,5.8007,28.5592,17.5882,14.0769,28.4898,19.3922,18.164
2265.625,30.6978,21.4351,12.0742,24.0201,18.9845,19.0434,16.1834,18.8782
2281.25,14.4841,3.4987,17.7555,11.2385,2.1579,13.049,19.4659,12.4458
2296.875,17.7835,13.926,18.6042,20.7457,18.7532,24.7614,16.3086,26.369
2312.5,21.757,9.1297,13.9805,27.7198,21.4205,16.019,13.9758,10.2303
2328.125,11.0122,20.4729,20.5488,15.0584,6.6331,15.4936,23.2263,16.9643
2343.75,15.1779,11.3991,15.3297,15.6404,18.0129,20.1816,14.6349,16.4307
2359.375,21.7502,13.3033,16.6374,13.3149,14.5074,13.299,13.965,20.6021
2375,18.6193,12.5718,24.9467,14.7062,12.5272,12.0828,15.9943,11.2165
2390.625,15.9934,16.2767,15.9908,12.4142,12.5127,16.9464,17.2929,19.9933
2406.25,10.5184,6.696,8.8299,9.5477,4.9556,5.1926,10.0372,5.4201
2421.875,5.0513,11.0716,9.0757,11.0359,19.032,10.4872,3.8943,14.5996
2437.5,7.937,18.8837,12.6935,12.1376,10.7549,12.7301,20.4988,6.4506
2453.125,16.4079,2.2292,8.5003,2.5574,14.7451,13.4785,7.6019,14.6012
2468.75,7.2807,19.857,14.3218,23.8875,15.7024,12.0488,11.8878,10.9496
2484.375,24.4872,15.2778,11.6121,5.8615,5.2582,10.7027,14.8206,21.3218
2500,13.473,9.8677,22.8945,23.9023,20.6645,14.2472,19.0058,18.096
2515.625,17.8931,12.3367,10.0971,18.6969,7.342,19.9523,8.2499,14.7094
2531.25,18.889,14.4344,21.7109,17.5369,23.0946,17.0902,21.0262,25.4718
2546.875,24.3075,20.1277,27.1521,19.1555,12.0297,22.9307,28.5723,14.0001
2562.5,15.0293,15.0566,21.4818,23.7439,15.6971,14.0446,13.5762,26.54
2578.125,29.1106,14.9938,24.3726,24.7945,27.2731,29.2116,26.2311,24.456
2593.75,22.9122,21.4246,26.7676,24.1449,7.3646,25.1913,28.0249,30.533
2609.375,21.8488,18.6667,24.0196,27.346,20.6388,21.2484,23.5483,21.2606
2625,21.9876,15.4992,25.9363,19.1252,22.3812,36.1032,25.9772,29.9078
2640.625,32.2755,25.329,25.7389,27.9162,18.3759,23.9079,27.1269,24.9372
2656.25,26.1232,14.5407,35.5888,32.3315,15.9635,20.1709,32.0583,31.3734
