Frequency(Hz),REC0.wav,REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav
562.5,67.6578,66.9868,33.47,52.7456,25.7514,38.2684,66.0962,37.3693,42.5654,23.7834,58.2459,39.2259,36.783,25.7768,24.4745,45.2824,48.7817
578.125,41.2213,38.1618,50.7994,51.6813,25.6201,60.7926,57.3975,55.2729,55.1519,45.5924,51.959,50.2419,57.9867,24.3123,46.0937,28.2129,61.806
593.75,26.7197,81.2253,43.9406,21.7393,28.6885,45.6812,38.6545,13.5267,24.5518,28.754,21.8179,39.8746,22.0981,34.0036,34.9813,25.4688,31.0902
609.375,52.076,36.1879,58.1584,51.7134,33.3914,41.7689,21.0465,61.379,63.4729,39.6002,76.5604,31.982,26.6395,37.896,12.7704,48.0947,28.748
625,32.2841,42.5222,22.0737,33.603,27.8947,24.4099,48.5192,14.8258,37.6512,31.8442,24.0238,54.7337,38.1225,27.5626,42.2377,33.3366,40.3915
640.625,31.3236,44.5503,40.4696,42.5256,34.549,44.3156,18.6034,15.8957,56.9987,107.7599,25.9759,9.4663,25.6024,10.8854,22.4163,47.6538,30.7704
656.25,15.3297,24.7452,58.3852,72.3008,20.4124,28.8232,31.8662,59.0614,33.5571,27.6651,34.6184,42.9981,42.8854,43.3148,29.3822,41.6093,34.3404
671.875,50.3152,18.657,17.1887,77.306,26.9608,43.5135,15.6626,57.0622,19.5589,32.0609,8.5256,6.5701,23.2373,33.6838,42.9726,38.6022,8.2926
687.5,38.3895,26.534,49.2318,52.3082,12.7834,8.4758,45.025,33.3848,16.1145,58.0827,23.9455,47.6515,31.7409,8.15,4.1851,31.4884,48.1764
703.125,62.9371,62.6293,12.3826,59.9284,9.9237,33.9172,33.4202,14.2802,10.278,39.5407,5.83,30.2814,10.5396,25.7361,31.4496,34.3686,9.6119
718.75,64.638,34.3378,31.0401,30.8165,8.4019,14.6262,40.163,25.0712,13.1916,38.4674,46.0756,20.0671,20.3767,34.367,14.3118,35.396,25.3752
734.375,40.5786,57.5226,52.9605,35.4918,30.9135,30.8666,14.3584,26.5832,19.4663,90.511,11.0371,16.2615,18.8583,25.0192,21.7513,48.7942,7.6704
750,51.3139,44.3394,51.9657,49.2093,9.3858,5.7033,60.4248,78.0092,42.6844,66.0636,32.2285,21.5785,48.6392,55.5019,15.8233,55.6271,39.347
765.625,20.0286,54.7394,87.1218,57.657,8.0927,28.5774,41.7317,41.7908,34.8817,52.789,12.0991,17.8499,43.3091,28.8239,13.6729,72.8577,23.907
781.25,15.0458,12.4498,120.7192,44.5253,18.6471,48.0501,44.1991,52.4933,22.0158,73.6957,3.812,14.643,58.4317,24.7793,46.6623,11.3692,19.9989
796.875,38.0491,22.9567,13.2582,67.6131,23.8541,28.6308,29.4704,29.4606,54.6735,35.2346,15.0896,49.8731,26.9891,18.7193,36.5329,14.0573,53.4657
812.5,30.5734,24.6113,19.7279,55.0446,6.8637,45.7963,29.5889,50.4844,44.7189,76.2564,51.9226,24.4377,13.7139,33.8592,50.9604,14.3345,13.0089
